Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA▼,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
17,George Bell\bellge02,27,TOR,AL,156,667,610,111,188,32,4,47,134,5,1,39,75,0.308,0.352,0.605,0.957,146,369,17,7,0,9,9,*7/DH45
18,Will Clark*\clarkwi02,23,SFG,NL,150,588,529,89,163,29,5,35,91,5,17,49,98,0.308,0.371,0.58,0.951,152,307,2,5,3,2,11,*3H
19,Pat Tabler\tablepa01,29,CLE,AL,151,618,553,66,170,34,3,11,86,5,2,51,84,0.307,0.369,0.439,0.809,114,243,6,6,3,5,6,3D/H
20,Dwight Evans\evansdw01,35,BOS,AL,154,657,541,109,165,37,2,34,123,4,6,106,98,0.305,0.417,0.569,0.986,157,308,10,3,0,7,6,39/DH
21,Andres Galarraga\galaran01,26,MON,NL,147,606,551,72,168,40,3,13,90,7,10,41,127,0.305,0.361,0.459,0.821,114,253,11,10,0,4,13,*3/H
22,Willie Randolph\randowi01,32,NYY,AL,120,543,449,96,137,24,2,7,67,11,1,82,25,0.305,0.411,0.414,0.825,121,186,15,2,5,5,1,*4/D
23,Ozzie Smith#\smithoz01,32,STL,NL,158,706,600,104,182,40,4,0,75,43,9,89,36,0.303,0.392,0.383,0.775,105,230,9,1,12,4,3,*6/H
24,Milt Thompson*\thompmi02,28,PHI,NL,150,575,527,86,159,26,9,7,43,46,10,42,87,0.302,0.351,0.425,0.776,103,224,5,0,3,3,2,*8H/79
25,Bobby Bonilla#\bonilbo01,24,PIT,NL,141,515,466,58,140,33,3,15,77,3,5,39,64,0.3,0.351,0.481,0.832,118,224,8,2,0,8,4,59H7/3
26,Brook Jacoby\jacobbr01,27,CLE,AL,155,620,540,73,162,26,4,32,69,2,3,75,73,0.3,0.387,0.541,0.928,143,292,19,3,0,2,2,*5/3DH
27,Benito Santiago\santibe01,22,SDP,NL,146,572,546,64,164,33,2,18,79,21,12,16,112,0.3,0.324,0.467,0.791,111,255,12,5,1,4,2,*2/H
28,Greg Brock*\brockgr01,30,MIL,AL,141,602,532,81,159,29,3,13,85,5,4,57,63,0.299,0.371,0.438,0.809,112,233,9,6,4,3,4,*3/H
29,Tim Wallach\wallati01,29,MON,NL,153,644,593,89,177,42,4,26,123,9,5,37,98,0.298,0.343,0.514,0.858,121,305,6,7,0,7,5,*5/H1
30,Phil Bradley\bradlph01,28,SEA,AL,158,702,603,101,179,38,10,14,67,40,10,84,119,0.297,0.387,0.463,0.85,120,279,18,8,1,5,2,*7
31,Billy Hatcher\hatchbi01,26,HOU,NL,141,627,564,96,167,28,3,11,63,53,9,42,70,0.296,0.352,0.415,0.767,106,234,11,9,7,5,1,*87/9H
32,Brett Butler*\butlebr01,30,CLE,AL,137,618,522,91,154,25,8,9,41,33,16,91,55,0.295,0.399,0.425,0.825,120,222,3,1,2,2,0,*8/H
33,Alvin Davis*\davisal01,26,SEA,AL,157,662,580,86,171,37,2,29,100,0,0,72,84,0.295,0.37,0.516,0.886,127,299,17,2,0,8,6,*3
34,Dale Murphy\murphda05,31,ATL,NL,159,693,566,115,167,27,1,44,105,16,6,115,136,0.295,0.417,0.58,0.997,157,328,11,7,0,5,29,*9
35,Ryne Sandberg\sandbry01,27,CHC,NL,132,587,523,81,154,25,2,16,59,21,2,59,79,0.294,0.367,0.442,0.809,111,231,11,2,1,2,4,*4/H
36,Harold Baines*\baineha01,28,CHW,AL,132,554,505,59,148,26,4,20,93,0,0,46,82,0.293,0.352,0.479,0.831,116,242,12,1,0,2,2,*D/H9
37,Marty Barrett\barrema02,29,BOS,AL,137,638,559,72,164,23,0,3,43,15,2,51,38,0.293,0.351,0.351,0.701,86,196,11,1,22,5,0,*4
38,Ivan Calderon\caldeiv01,25,CHW,AL,144,607,542,93,159,38,2,28,83,10,5,60,109,0.293,0.362,0.526,0.888,130,285,13,1,0,4,6,*9/7DH
39,Eric Davis\daviser01,25,CIN,NL,129,562,474,120,139,23,4,37,100,50,6,84,134,0.293,0.399,0.593,0.991,155,281,6,1,0,3,8,*8/7H
40,Mike Schmidt\schmimi01,37,PHI,NL,147,613,522,88,153,28,0,35,113,2,1,83,80,0.293,0.388,0.548,0.936,142,286,17,2,0,6,15,*5/3H6
41,Andy Van Slyke*\vanslan01,26,PIT,NL,157,632,564,93,165,36,11,21,82,34,8,56,122,0.293,0.359,0.507,0.866,127,286,6,4,3,3,4,*89H/3
42,Dave Martinez*\martida01,22,CHC,NL,142,520,459,70,134,18,8,8,36,16,8,57,96,0.292,0.372,0.418,0.79,107,192,4,2,1,1,4,*8H7/9
43,George Brett*\brettge01,34,KCR,AL,115,508,427,71,124,18,2,22,78,6,3,72,47,0.29,0.388,0.496,0.884,131,212,10,1,0,8,14,3D5
44,Keith Hernandez*\hernake01,33,NYM,NL,154,676,587,87,170,28,2,18,89,0,2,81,104,0.29,0.377,0.436,0.813,120,256,15,4,0,4,8,*3/H
45,Vince Coleman#\colemvi01,25,STL,NL,151,702,623,121,180,14,10,3,43,109,22,70,126,0.289,0.363,0.358,0.721,91,223,7,3,5,1,0,*7/H
46,Carney Lansford\lansfca01,30,OAK,AL,151,631,554,89,160,27,4,19,76,27,8,60,44,0.289,0.366,0.455,0.821,123,252,9,9,5,3,11,*53/DH
47,Mark McGwire\mcgwima01,23,OAK,AL,151,641,557,97,161,28,4,49,118,1,1,71,131,0.289,0.37,0.618,0.987,164,344,6,5,0,8,8,*3/59H
48,Matt Nokes*\nokesma01,23,DET,AL,135,508,461,69,133,14,2,32,87,2,1,35,70,0.289,0.345,0.536,0.88,133,247,13,6,3,3,2,*2HD/759
49,Johnny Ray#\rayjo01,30,TOT,MLB,153,650,599,64,173,30,3,5,69,4,2,44,46,0.289,0.334,0.374,0.708,88,224,22,0,1,6,4,*4/HD
50,Andre Dawson\dawsoan01,32,CHC,NL,153,662,621,90,178,24,2,49,137,11,3,32,103,0.287,0.328,0.568,0.896,130,353,15,7,0,2,7,*9/H
51,Scott Fletcher\fletcsc01,28,TEX,AL,156,668,588,82,169,28,4,5,63,13,12,61,66,0.287,0.358,0.374,0.732,95,220,14,5,12,2,3,*6/H
